edition,year,venue,round,team 1,team 2,score,score_halftime
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Yugoslavia (Југославија),Bolivia,4-0,0-0
1930-URUGUAY,1930,Montevideo.,1/2_FINAL,Uruguay,Yugoslavia (Југославија),6-1,3-1
1930-URUGUAY,1930,Montevideo.,1/2_FINAL,Argentina,USA,6-1,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Argentina,Chile,3-1,2-1
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Uruguay,Romania (România),4-0,4-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Paraguay,Belgium (België),1-0,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Brazil (Brasil),Bolivia,4-0,1-0
1930-URUGUAY,1930,Montevideo.,_FINAL,Uruguay,Argentina,4-2,1-2
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Argentina,Mexico (México),6-3,3-1
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Uruguay,Peru (Perú),1-0,0-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,USA,Paraguay,3-0,2-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Chile,Mexico (México),3-0,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Argentina,France,1-0,0-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Romania (România),Peru (Perú),3-1,1-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Yugoslavia (Југославија),Brazil (Brasil),2-1,2-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,Chile,France,1-0,0-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,USA,Belgium (België),3-0,2-0
1930-URUGUAY,1930,Montevideo.,GROUP_STAGE,France,Mexico (México),4-1,3-0
1934-ITALY,1934,Yěrūshālayim.,PRELIMINARY-N.E.,Palestine (فلسطين),Egypt (مصر),1-4,0-4
1934-ITALY,1934,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Cuba,1-3,0-1
1934-ITALY,1933,Bern.,PRELIMINARY-Europe,Switzerland (Schweiz / Suisse),Romania (România),2-0,w.o.
1934-ITALY,1933,Warszawa.,PRELIMINARY-Europe,Poland (Polska),Czechoslovakia (Československo),1-2,0-1
1934-ITALY,1933,Beograd.,PRELIMINARY-Europe,Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),2-2,0-0
1934-ITALY,1934,Budapest.,PRELIMINARY-Europe,Hungary (Magyarország),Bulgaria (България),4-1,1-0
1934-ITALY,1934,Dublin.,PRELIMINARY-Europe,Irish Free State (Saorstát Éireann),Belgium (België),4-4,1-2
1934-ITALY,1934,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Cuba,3-2,3-1
1934-ITALY,1934,Madrid.,PRELIMINARY-Europe,Spain (España),Portugal,9-0,3-0
1934-ITALY,1934,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),Germany (Deutschland),1-9,1-5
1934-ITALY,1934,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Cuba,5-0,3-0
1934-ITALY,1934,Cairo.,PRELIMINARY-N.E.,Egypt (مصر),Palestine (فلسطين),7-1,4-0
1934-ITALY,1934,Lisboa.,PRELIMINARY-Europe,Portugal,Spain (España),1-2,1-2
1934-ITALY,1934,Roma.,1/2_FINAL,Czechoslovakia (Československo),Germany (Deutschland),3-1,1-0
1934-ITALY,1934,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Cuba,4-1,2-1
1934-ITALY,1934,Milano.,PRELIMINARY-Europe,Italy (Italia),Greece (Ελλάδα),4-0,2-0
1934-ITALY,1934,Sofija.,PRELIMINARY-Europe,Bulgaria (България),Hungary (Magyarország),1-4,1-1
1934-ITALY,1934,Wien.,PRELIMINARY-Europe,Austria (Österreich),Bulgaria (България),6-1,3-0
1934-ITALY,1934,Amsterdam.,PRELIMINARY-Europe,Netherlands (Nederland),Irish Free State (Saorstát Éireann),5-2,1-1
1934-ITALY,1934,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),France,1-6,0-2
1934-ITALY,1934,Napoli.,PLACES_3&4,Germany (Deutschland),Austria (Österreich),3-2,3-1
1934-ITALY,1934,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Cuba,1-1,0-0
1934-ITALY,1934,Milano.,1/2_FINAL,Italy (Italia),Austria (Österreich),1-0,1-0
1934-ITALY,1934,Firenze.,1/4_FINAL,Italy (Italia),Spain (España),1-0,1-0
1934-ITALY,1934,Firenze.,1/4_FINAL,Italy (Italia),Spain (España),1-1,1-1
1934-ITALY,1934,Milano.,1/4_FINAL,Germany (Deutschland),Sweden (Sverige),2-1,0-0
1934-ITALY,1934,Torino.,1/4_FINAL,Czechoslovakia (Československo),Switzerland (Schweiz / Suisse),3-2,1-1
1934-ITALY,1934,Bologna.,1/4_FINAL,Austria (Österreich),Hungary (Magyarország),2-1,1-0
1934-ITALY,1934,Napoli.,FIRST,Hungary (Magyarország),Egypt (مصر),4-2,2-2
1934-ITALY,1934,Genova.,FIRST,Spain (España),Brazil (Brasil),3-1,3-0
1934-ITALY,1934,Bologna.,FIRST,Sweden (Sverige),Argentina,3-2,1-1
1934-ITALY,1934,Milano.,FIRST,Switzerland (Schweiz / Suisse),Netherlands (Nederland),3-2,2-1
1934-ITALY,1934,Trieste.,FIRST,Czechoslovakia (Československo),Romania (România),2-1,0-1
1934-ITALY,1934,Firenze.,FIRST,Germany (Deutschland),Belgium (België),5-2,1-2
1934-ITALY,1934,Torino.,FIRST,Austria (Österreich),France,3-2,1-1
1934-ITALY,1934,Roma.,FIRST,Italy (Italia),USA,7-1,3-0
1934-ITALY,1934,Roma.,PRELIMINARY-N/C.America,USA,Mexico (México),4-2,2-1
1934-ITALY,1934,Antwerpen.,PRELIMINARY-Europe,Belgium (België),Netherlands (Nederland),2-4,0-0
1934-ITALY,1934,Roma.,_FINAL,Italy (Italia),Czechoslovakia (Československo),2-1,0-0
1934-ITALY,1933,Kaunas.,PRELIMINARY-Europe,Lithuania (Lietuva),Sweden (Sverige),0-2,0-0
1934-ITALY,1933,Stockholm.,PRELIMINARY-Europe,Sweden (Sverige),Estonia (Eesti),6-2,4-0
1934-ITALY,1934,Bucureşti.,PRELIMINARY-Europe,Romania (România),Yugoslavia (Југославија),2-1,1-0
1934-ITALY,1934,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Cuba,0-6,0-3
1938-FRANCE,1938,Paris.,_FINAL,Italy (Italia),Hungary (Magyarország),4-2,3-1
1938-FRANCE,1938,Bordeaux.,PLACES_3&4,Brazil (Brasil),Sweden (Sverige),4-2,1-2
1938-FRANCE,1938,Athína.,PRELIMINARY-Eur./N.E.,Greece (Ελλάδα),Palestine (فلسطين),1-0,0-0
1938-FRANCE,1938,Marseille.,1/2_FINAL,Italy (Italia),Brazil (Brasil),2-1,0-0
1938-FRANCE,1937,Helsinki.,PRELIMINARY-Europe,Finland (Suomi),Germany (Deutschland),0-2,0-2
1938-FRANCE,1937,Rīga.,PRELIMINARY-Europe,Latvia (Latvija),Lithuania (Lietuva),4-2,2-0
1938-FRANCE,1937,Turku.,PRELIMINARY-Europe,Finland (Suomi),Estonia (Eesti),0-1,0-0
1938-FRANCE,1937,Königsberg.,PRELIMINARY-Europe,Germany (Deutschland),Estonia (Eesti),4-1,0-1
1938-FRANCE,1937,Kaunas.,PRELIMINARY-Europe,Lithuania (Lietuva),Latvia (Latvija),1-5,0-4
1938-FRANCE,1937,Wien.,PRELIMINARY-Europe,Austria (Österreich),Latvia (Latvija),2-1,2-1
1938-FRANCE,1937,Stockholm.,PRELIMINARY-Europe,Sweden (Sverige),Estonia (Eesti),7-2,3-2
1938-FRANCE,1937,Oslo.,PRELIMINARY-Europe,Norway (Norge),Irish Free State (Saorstát Éireann),3-2,2-1
1938-FRANCE,1937,Dublin.,PRELIMINARY-Europe,Irish Free State (Saorstát Éireann),Norway (Norge),3-3,1-2
1938-FRANCE,1938,Beograd.,PRELIMINARY-Europe,Yugoslavia (Југославија),Poland (Polska),1-0,0-0
1938-FRANCE,1938,Budapest.,PRELIMINARY-Eur./N.E.,Hungary (Magyarország),Greece (Ελλάδα),11-1,7-1
1938-FRANCE,1938,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),Belgium (België),2-3,2-1
1938-FRANCE,1938,Tel Aviv.,PRELIMINARY-Eur./N.E.,Palestine (فلسطين),Greece (Ελλάδα),1-3,1-2
1938-FRANCE,1937,Rotterdam.,PRELIMINARY-Europe,Netherlands (Nederland),Luxembourg (Lëtzebuerg),4-0,1-0
1938-FRANCE,1937,Warszawa.,PRELIMINARY-Europe,Poland (Polska),Yugoslavia (Југославија),4-0,2-0
1938-FRANCE,1938,Paris.,1/2_FINAL,Hungary (Magyarország),Sweden (Sverige),5-1,3-1
1938-FRANCE,1937,Stockholm.,PRELIMINARY-Europe,Sweden (Sverige),Finland (Suomi),4-0,0-0
1938-FRANCE,1938,Praha.,PRELIMINARY-Europe,Czechoslovakia (Československo),Bulgaria (България),6-0,1-0
1938-FRANCE,1938,Bordeaux.,1/4_FINAL,Brazil (Brasil),Czechoslovakia (Československo),2-1,0-1
1938-FRANCE,1938,Antibes.,1/4_FINAL,Sweden (Sverige),Cuba,8-0,4-0
1938-FRANCE,1938,Lille.,1/4_FINAL,Hungary (Magyarország),Switzerland (Schweiz / Suisse),2-0,1-0
1938-FRANCE,1938,Bordeaux.,1/4_FINAL,Brazil (Brasil),Czechoslovakia (Československo),1-1,1-0
1938-FRANCE,1938,Paris.,1/4_FINAL,Italy (Italia),France,3-1,1-1
1938-FRANCE,1938,Paris.,FIRST,Switzerland (Schweiz / Suisse),Germany (Deutschland),4-2,1-2
1938-FRANCE,1938,Antwerpen.,PRELIMINARY-Europe,Belgium (België),Netherlands (Nederland),1-1,0-1
1938-FRANCE,1938,Le_Havre.,FIRST,Czechoslovakia (Československo),Netherlands (Nederland),3-0,0-0
1938-FRANCE,1938,Toulouse.,FIRST,Cuba,Romania (România),3-3,1-1
1938-FRANCE,1937,Hamburg.,PRELIMINARY-Europe,Germany (Deutschland),Sweden (Sverige),5-0,2-0
1938-FRANCE,1938,Paris.,FIRST,France,Belgium (België),3-1,2-1
1938-FRANCE,1938,Marseille.,FIRST,Italy (Italia),Norway (Norge),2-1,1-0
1938-FRANCE,1938,Paris.,FIRST,Switzerland (Schweiz / Suisse),Germany (Deutschland),1-1,1-1
1938-FRANCE,1938,Milano.,PRELIMINARY-Europe,Switzerland (Schweiz / Suisse),Portugal,2-1,2-0
1938-FRANCE,1938,Strasbourg.,FIRST,Brazil (Brasil),Poland (Polska),6-5,3-1
1938-FRANCE,1938,Toulouse.,FIRST,Cuba,Romania (România),2-1,0-1
1938-FRANCE,1938,Reims.,FIRST,Hungary (Magyarország),Dutch East Indies (Nederlands-Indië),6-0,4-0
1938-FRANCE,1937,Sofija.,PRELIMINARY-Europe,Bulgaria (България),Czechoslovakia (Československo),1-1,0-1
1950-BRAZIL,1950,Madrid.,PRELIMINARY-Europe,Spain (España),Portugal,5-1,3-1
1950-BRAZIL,1950,Lisboa.,PRELIMINARY-Europe,Portugal,Spain (España),2-2,0-1
1950-BRAZIL,1950,Glasgow.,PRELIMINARY-Europe,Scotland,England,0-1,0-0
1950-BRAZIL,1950,Rio de Janeiro.,GROUP_STAGE,Brazil (Brasil),Mexico (México),4-0,1-0
1950-BRAZIL,1950,Rio de Janeiro.,GROUP_STAGE,England,Chile,2-0,1-0
1950-BRAZIL,1950,Curitiba.,GROUP_STAGE,Spain (España),USA,3-1,0-1
1950-BRAZIL,1950,São_Paulo.,GROUP_STAGE,Sweden (Sverige),Italy (Italia),3-2,2-1
1950-BRAZIL,1950,Belo Horizonte.,GROUP_STAGE,Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),3-0,0-0
1950-BRAZIL,1950,Wrexham.,PRELIMINARY-Europe,Wales (Cymru),Northern Ireland (Ulster),0-0,0-0
1950-BRAZIL,1950,São_Paulo.,GROUP_STAGE,Brazil (Brasil),Switzerland (Schweiz / Suisse),2-2,2-1
1950-BRAZIL,1950,Rio de Janeiro.,GROUP_STAGE,Spain (España),Chile,2-0,2-0
1950-BRAZIL,1950,Curitiba.,GROUP_STAGE,Sweden (Sverige),Paraguay,2-2,2-1
1950-BRAZIL,1950,Belo Horizonte.,GROUP_STAGE,USA,England,1-0,1-0
1950-BRAZIL,1950,Rio de Janeiro.,FINAL_ROUND,Uruguay,Brazil (Brasil),2-1,0-0
1950-BRAZIL,1950,São_Paulo.,FINAL_ROUND,Sweden (Sverige),Spain (España),3-1,2-0
1950-BRAZIL,1950,Rio de Janeiro.,FINAL_ROUND,Brazil (Brasil),Spain (España),6-1,3-0
1950-BRAZIL,1950,São_Paulo.,FINAL_ROUND,Uruguay,Sweden (Sverige),3-2,1-2
1950-BRAZIL,1950,São_Paulo.,FINAL_ROUND,Uruguay,Spain (España),2-2,1-2
1950-BRAZIL,1950,Porto_Alegre.,GROUP_STAGE,Yugoslavia (Југославија),Mexico (México),4-1,2-0
1950-BRAZIL,1950,La_Paz.,PRELIMINARY-S.America,Bolivia,Chile,2-0,0-0
1950-BRAZIL,1949,Firenze.,PRELIMINARY-Eur./N.E.,Yugoslavia (Југославија),France,3-2,1-1
1950-BRAZIL,1949,Ankara.,PRELIMINARY-Eur./N.E.,Turkey (Türkiye),Syria (سوريا),7-0,3-0
1950-BRAZIL,1949,Beograd.,PRELIMINARY-Eur./N.E.,Yugoslavia (Југославија),France,1-1,1-0
1950-BRAZIL,1949,Malmö.,PRELIMINARY-Europe,Sweden (Sverige),Finland (Suomi),8-1,5-1
1950-BRAZIL,1949,Belfast.,PRELIMINARY-Europe,Northern Ireland (Ulster),Scotland,2-8,0-5
1950-BRAZIL,1949,México D.F.,PRELIMINARY-N/C.America,Cuba,Mexico (México),0-3,0-1
1950-BRAZIL,1949,México D.F.,PRELIMINARY-N/C.America,USA,Cuba,5-2,4-1
1950-BRAZIL,1949,México D.F.,PRELIMINARY-N/C.America,Mexico (México),USA,6-2,3-0
1950-BRAZIL,1949,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),Switzerland (Schweiz / Suisse),2-3,2-1
1950-BRAZIL,1949,Tel Aviv.,PRELIMINARY-Eur./N.E.,Israel (ישראל),Yugoslavia (Југославија),2-5,0-3
1950-BRAZIL,1949,México D.F.,PRELIMINARY-N/C.America,Cuba,USA,1-1,1-1
1950-BRAZIL,1949,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Cuba,2-0,1-0
1950-BRAZIL,1949,Dublin.,PRELIMINARY-Europe,Ireland (Éire),Finland (Suomi),3-0,2-0
1950-BRAZIL,1949,México D.F.,PRELIMINARY-N/C.America,USA,Mexico (México),0-6,0-3
1950-BRAZIL,1949,Beograd.,PRELIMINARY-Eur./N.E.,Yugoslavia (Југославија),Israel (ישראל),6-0,4-0
1950-BRAZIL,1949,Zürich.,PRELIMINARY-Europe,Switzerland (Schweiz / Suisse),Luxembourg (Lëtzebuerg),5-2,3-1
1950-BRAZIL,1949,Stockholm.,PRELIMINARY-Europe,Sweden (Sverige),Ireland (Éire),3-1,2-1
1950-BRAZIL,1949,Paris.,PRELIMINARY-Eur./N.E.,France,Yugoslavia (Југославија),1-1,1-1
1950-BRAZIL,1949,Glasgow.,PRELIMINARY-Europe,Scotland,Wales (Cymru),2-0,1-0
1950-BRAZIL,1949,Dublin.,PRELIMINARY-Europe,Ireland (Éire),Sweden (Sverige),1-3,0-2
1950-BRAZIL,1949,Helsinki.,PRELIMINARY-Europe,Finland (Suomi),Ireland (Éire),1-1,0-0
1950-BRAZIL,1950,Rio de Janeiro.,FINAL_ROUND,Brazil (Brasil),Sweden (Sverige),7-1,3-0
1950-BRAZIL,1950,Recife.,GROUP_STAGE,Chile,USA,5-2,2-0
1950-BRAZIL,1949,Manchester.,PRELIMINARY-Europe,England,Northern Ireland (Ulster),9-2,4-0
1950-BRAZIL,1950,Belo Horizonte.,GROUP_STAGE,Uruguay,Bolivia,8-0,4-0
1950-BRAZIL,1950,Porto_Alegre.,GROUP_STAGE,Switzerland (Schweiz / Suisse),Mexico (México),2-1,2-0
1950-BRAZIL,1950,Rio de Janeiro.,GROUP_STAGE,Brazil (Brasil),Yugoslavia (Југославија),2-0,1-0
1950-BRAZIL,1949,Cardiff.,PRELIMINARY-Europe,Wales (Cymru),England,1-4,0-3
1950-BRAZIL,1950,Rio de Janeiro.,GROUP_STAGE,Spain (España),England,1-0,0-0
1950-BRAZIL,1950,São_Paulo.,GROUP_STAGE,Italy (Italia),Paraguay,2-0,1-0
1954-SWITZERLAND,1954,Rio de Janeiro.,PRELIMINARY-S.America,Brazil (Brasil),Paraguay,4-1,0-0
1954-SWITZERLAND,1953,Bruxelles.,PRELIMINARY-Europe,Belgium (België),Sweden (Sverige),2-0,1-0
1954-SWITZERLAND,1953,Dublin.,PRELIMINARY-Europe,Ireland (Éire),France,3-5,0-2
1954-SWITZERLAND,1953,Belfast.,PRELIMINARY-Europe,Northern Ireland (Ulster),Scotland,1-3,0-0
1954-SWITZERLAND,1953,Wien.,PRELIMINARY-Europe,Austria (Österreich),Portugal,9-1,4-0
1954-SWITZERLAND,1953,Bruxelles.,PRELIMINARY-Europe,Belgium (België),Finland (Suomi),2-2,2-0
1954-SWITZERLAND,1953,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),France,1-6,1-4
1954-SWITZERLAND,1953,Oslo.,PRELIMINARY-Europe,Norway (Norge),FRG (BRD / Westdeutschland),1-1,1-1
1954-SWITZERLAND,1954,Zürich.,GROUP_STAGE,Austria (Österreich),Czechoslovakia (Československo),5-0,4-0
1954-SWITZERLAND,1953,Cardiff.,PRELIMINARY-Europe,Wales (Cymru),England,1-4,1-1
1954-SWITZERLAND,1954,Lausanne.,GROUP_STAGE,Brazil (Brasil),Yugoslavia (Југославија),1-1,0-0
1954-SWITZERLAND,1954,Basel.,GROUP_STAGE,England,Belgium (België),4-4,2-1
1954-SWITZERLAND,1954,Bern.,GROUP_STAGE,FRG (BRD / Westdeutschland),Turkey (Türkiye),4-1,1-1
1954-SWITZERLAND,1954,Zürich.,GROUP_STAGE,Hungary (Magyarország),South Korea (한국),9-0,4-0
1954-SWITZERLAND,1954,Lausanne.,GROUP_STAGE,Switzerland (Schweiz / Suisse),Italy (Italia),2-1,1-1
1954-SWITZERLAND,1954,Bern.,GROUP_STAGE,Uruguay,Czechoslovakia (Československo),2-0,0-0
1954-SWITZERLAND,1954,Zürich.,GROUP_STAGE,Austria (Österreich),Scotland,1-0,1-0
1954-SWITZERLAND,1954,Genève.,GROUP_STAGE,Brazil (Brasil),Mexico (México),5-0,4-0
1954-SWITZERLAND,1954,Lausanne.,GROUP_STAGE,Yugoslavia (Југославија),France,1-0,1-0
1954-SWITZERLAND,1954,Port-au-Prince.,PRELIMINARY-N/C.America,USA,Haiti (Haïti),3-0,2-0
1954-SWITZERLAND,1954,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),USA,2-3,0-1
1954-SWITZERLAND,1954,Basel.,GROUP_STAGE,Uruguay,Scotland,7-0,2-0
1954-SWITZERLAND,1954,Glasgow.,PRELIMINARY-Europe,Scotland,England,2-4,1-1
1954-SWITZERLAND,1953,Stuttgart.,PRELIMINARY-Europe,FRG (BRD / Westdeutschland),Saarland,3-0,1-0
1954-SWITZERLAND,1953,Bucureşti.,PRELIMINARY-Europe,Romania (România),Czechoslovakia (Československo),0-1,0-1
1954-SWITZERLAND,1954,Genève.,GROUP_STAGE,France,Mexico (México),3-2,1-0
1954-SWITZERLAND,1954,Basel.,GROUP_STAGE,Hungary (Magyarország),FRG (BRD / Westdeutschland),8-3,3-1
1954-SWITZERLAND,1954,Genève.,GROUP_STAGE,Turkey (Türkiye),South Korea (한국),7-0,4-0
1954-SWITZERLAND,1954,Lugano.,GROUP_STAGE,Italy (Italia),Belgium (België),4-1,1-0
1954-SWITZERLAND,1954,Bern.,GROUP_STAGE,England,Switzerland (Schweiz / Suisse),2-0,1-0
1954-SWITZERLAND,1954,Zürich.,GROUP_STAGE,FRG (BRD / Westdeutschland),Turkey (Türkiye),7-2,3-1
1954-SWITZERLAND,1954,Basel.,GROUP_STAGE,Switzerland (Schweiz / Suisse),Italy (Italia),4-1,1-0
1954-SWITZERLAND,1954,Basel.,1/4_FINAL,Uruguay,England,4-2,2-1
1954-SWITZERLAND,1954,Lausanne.,1/4_FINAL,Austria (Österreich),Switzerland (Schweiz / Suisse),7-5,5-4
1954-SWITZERLAND,1954,Bern.,1/4_FINAL,Hungary (Magyarország),Brazil (Brasil),4-2,2-1
1954-SWITZERLAND,1953,Sofija.,PRELIMINARY-Europe,Bulgaria (България),Romania (România),1-2,1-1
1954-SWITZERLAND,1954,Genève.,1/4_FINAL,FRG (BRD / Westdeutschland),Yugoslavia (Југославија),2-0,1-0
1954-SWITZERLAND,1954,Basel.,1/2_FINAL,FRG (BRD / Westdeutschland),Austria (Österreich),6-1,1-0
1954-SWITZERLAND,1954,Zürich.,PLACES_3&4,Austria (Österreich),Uruguay,3-1,1-1
1954-SWITZERLAND,1954,Bern.,_FINAL,FRG (BRD / Westdeutschland),Hungary (Magyarország),3-2,2-2
1954-SWITZERLAND,1953,Liverpool.,PRELIMINARY-Europe,England,Northern Ireland (Ulster),3-1,1-0
1954-SWITZERLAND,1953,Skopje.,PRELIMINARY-Eur./N.E.,Yugoslavia (Југославија),Israel (ישראל),1-0,1-0
1954-SWITZERLAND,1953,Bratislava.,PRELIMINARY-Europe,Czechoslovakia (Československo),Bulgaria (България),0-0,0-0
1954-SWITZERLAND,1953,Saarbrücken.,PRELIMINARY-Europe,Saarland,Norway (Norge),0-0,0-0
1954-SWITZERLAND,1953,Glasgow.,PRELIMINARY-Europe,Scotland,Wales (Cymru),3-3,2-0
1954-SWITZERLAND,1953,Athína.,PRELIMINARY-Eur./N.E.,Greece (Ελλάδα),Israel (ישראל),1-0,0-0
1954-SWITZERLAND,1953,Dublin.,PRELIMINARY-Europe,Ireland (Éire),Luxembourg (Lëtzebuerg),4-0,1-0
1954-SWITZERLAND,1954,Lausanne.,1/2_FINAL,Hungary (Magyarország),Uruguay,4-2,1-0
1954-SWITZERLAND,1954,Wrexham.,PRELIMINARY-Europe,Wales (Cymru),Northern Ireland (Ulster),1-2,0-1
1954-SWITZERLAND,1953,Sofija.,PRELIMINARY-Europe,Bulgaria (България),Czechoslovakia (Československo),1-2,0-2
1954-SWITZERLAND,1953,Stockholm.,PRELIMINARY-Europe,Sweden (Sverige),Finland (Suomi),4-0,2-0
1954-SWITZERLAND,1954,México D.F.,PRELIMINARY-N/C.America,USA,Mexico (México),0-4,0-2
1954-SWITZERLAND,1954,México D.F.,PRELIMINARY-N/C.America,Mexico (México),USA,3-1,0-1
1954-SWITZERLAND,1954,Milano.,PRELIMINARY-Eu./Afr.,Italy (Italia),Egypt (مصر),5-1,1-1
1954-SWITZERLAND,1954,Asunción.,PRELIMINARY-S.America,Paraguay,Chile,4-0,1-0
1954-SWITZERLAND,1954,Santiago.,PRELIMINARY-S.America,Chile,Paraguay,1-3,1-1
1954-SWITZERLAND,1954,Santiago.,PRELIMINARY-S.America,Chile,Brazil (Brasil),0-2,0-1
1954-SWITZERLAND,1954,Madrid.,PRELIMINARY-Europe,Spain (España),Turkey (Türkiye),4-1,1-1
1954-SWITZERLAND,1954,Luxembourg.,PRELIMINARY-Europe,Luxembourg (Lëtzebuerg),Ireland (Éire),0-1,0-0
1954-SWITZERLAND,1954,Tokyo.,PRELIMINARY-Asia,Japan (日本),South Korea (한국),1-5,1-2
1954-SWITZERLAND,1954,Tel Aviv.,PRELIMINARY-Eur./N.E.,Israel (ישראל),Greece (Ελλάδα),0-2,0-0
1954-SWITZERLAND,1954,İstanbul.,PRELIMINARY-Europe,Turkey (Türkiye),Spain (España),1-0,1-0
1954-SWITZERLAND,1954,Rio de Janeiro.,PRELIMINARY-S.America,Brazil (Brasil),Chile,1-0,1-0
1954-SWITZERLAND,1954,Athína.,PRELIMINARY-Eur./N.E.,Greece (Ελλάδα),Yugoslavia (Југославија),0-1,0-0
1954-SWITZERLAND,1954,Roma.,PRELIMINARY-Europe,Turkey (Türkiye),Spain (España),2-2,1-1
1954-SWITZERLAND,1954,Asunción.,PRELIMINARY-S.America,Paraguay,Brazil (Brasil),0-1,0-0
1954-SWITZERLAND,1954,Tel Aviv.,PRELIMINARY-Eur./N.E.,Israel (ישראל),Yugoslavia (Југославија),0-1,0-0
1954-SWITZERLAND,1954,Tokyo.,PRELIMINARY-Asia,South Korea (한국),Japan (日本),2-2,2-1
1954-SWITZERLAND,1953,Lisboa.,PRELIMINARY-Europe,Portugal,Austria (Österreich),0-0,0-0
1954-SWITZERLAND,1954,Saarbrücken.,PRELIMINARY-Europe,Saarland,FRG (BRD / Westdeutschland),1-3,0-1
1954-SWITZERLAND,1953,Beograd.,PRELIMINARY-Eur./N.E.,Yugoslavia (Југославија),Greece (Ελλάδα),1-0,1-0
1954-SWITZERLAND,1953,Helsinki.,PRELIMINARY-Europe,Finland (Suomi),Belgium (België),2-4,0-3
1954-SWITZERLAND,1953,Stockholm.,PRELIMINARY-Europe,Sweden (Sverige),Belgium (België),2-3,2-3
1954-SWITZERLAND,1953,Praha.,PRELIMINARY-Europe,Czechoslovakia (Československo),Romania (România),2-0,0-0
1954-SWITZERLAND,1953,Oslo.,PRELIMINARY-Europe,Norway (Norge),Saarland,2-3,2-2
1954-SWITZERLAND,1953,Bucureşti.,PRELIMINARY-Europe,Romania (România),Bulgaria (България),3-1,2-0
1954-SWITZERLAND,1953,México D.F.,PRELIMINARY-N/C.America,Mexico (México),Haiti (Haïti),8-0,5-0
1954-SWITZERLAND,1953,Helsinki.,PRELIMINARY-Europe,Finland (Suomi),Sweden (Sverige),3-3,0-2
1954-SWITZERLAND,1953,Cairo.,PRELIMINARY-Eu./Afr.,Egypt (مصر),Italy (Italia),1-2,1-0
1954-SWITZERLAND,1953,Hamburg.,PRELIMINARY-Europe,FRG (BRD / Westdeutschland),Norway (Norge),5-1,1-1
1954-SWITZERLAND,1953,Port-au-Prince.,PRELIMINARY-N/C.America,Haiti (Haïti),Mexico (México),0-4,0-2
1954-SWITZERLAND,1953,Paris.,PRELIMINARY-Europe,France,Luxembourg (Lëtzebuerg),8-0,4-0
1954-SWITZERLAND,1953,Paris.,PRELIMINARY-Europe,France,Ireland (Éire),1-0,0-0
1958-SWEDEN,1958,Malmö.,GROUP_STAGE,FRG (BRD / Westdeutschland),Northern Ireland (Ulster),2-2,1-1
1958-SWEDEN,1958,Malmö.,1/4_FINAL,FRG (BRD / Westdeutschland),Yugoslavia (Југославија),1-0,1-0
1958-SWEDEN,1958,Stockholm.,1/4_FINAL,Sweden (Sverige),Soviet Union (СССР),2-0,0-0
1958-SWEDEN,1958,Göteborg.,GROUP_STAGE,Soviet Union (СССР),England,1-0,0-0
1958-SWEDEN,1958,Stockholm.,GROUP_STAGE,Wales (Cymru),Hungary (Magyarország),2-1,0-1
1958-SWEDEN,1958,Malmö.,GROUP_STAGE,Northern Ireland (Ulster),Czechoslovakia (Československo),2-1,1-1
1958-SWEDEN,1958,Borås.,GROUP_STAGE,England,Austria (Österreich),2-2,0-1
1958-SWEDEN,1958,Stockholm.,GROUP_STAGE,Sweden (Sverige),Hungary (Magyarország),2-1,1-0
1958-SWEDEN,1958,Sandviken.,GROUP_STAGE,Hungary (Magyarország),Mexico (México),4-0,1-0
